"|","|__id","|__Rates__|","|__Rates__|__startHour","|__Rates__|__endHour","|__Rates__|__pricePerHalfHour__001","|__Rates__|__pricePerHalfHour__002","|__Rates__|__pricePerHalfHour__003","|__Rates__|__pricePerHalfHour__004","|__Rates__|__pricePerHalfHour__005","|__Rates__|__pricePerHalfHour__006","|__Rates__|__pricePerHalfHour__007","|__Rates__|__pricePerHalfHour__008","|__Rates__|__pricePerHalfHour__009","|__GPS__Lat","|__GPS__Long"
"","","Sunday","8.00","18.00","1.00","1.00","0.75","","","","","","","",""
"","","","18.00","7.59","5.35","0.00","","","","","","","","",""
"City Plaza","","Weekday","8.00","17.00","0.55","0.55","0.70","","","","","","","1.3151892","103.8933177"
"","","","17.00","23.59","1.20","0.00","","","","","","","","",""
"","","","23.59","7.00","2.40","0.00","","","","","","","","",""
"","","Saturday","8.00","17.00","0.55","0.55","0.70","","","","","","","",""
"","","","17.00","23.59","1.20","0.00","","","","","","","","",""
"","","","23.59","7.00","2.40","0.00","","","","","","","","",""
"","","Sunday","7.00","23.59","1.20","0.00","","","","","","","","",""
"","","","23.59","7.59","2.40","0.00","","","","","","","","",""
"D'Resort","","Weekday","6.00","17.59","0.72","","","","","","","","","1.3798904","103.9549644"
"","","Saturday","0.00","17.00","0.72","","","","","","","","","",""
"","","","17.00","23.59","5.00","0.00","","","","","","","","",""
"","","Sunday","0.00","17.00","0.72","","","","","","","","","",""
"","","","17.00","23.59","5.00","0.00","","","","","","","","",""
"Downtown East","","Weekday","0.00","17.00","0.72","","","","","","","","","1.3753332","103.9538814"
"","","Saturday","0.00","17.00","0.72","","","","","","","","","",""
"","","","17.00","23.59","3.40","0.00","","","","","","","","",""
"","","Sunday","0.00","17.00","0.72","","","","","","","","","",""
"","","","17.00","23.59","3.40","0.00","","","","","","","","",""
"East Coast Park E1/E2/E3 Off-Street","","Weekday","7.00","23.59","0.50","","","","","","","","","1.312326","103.759941"
"","","","23.59","6.59","0.50","","","","","","","","","",""
"","","Saturday","7.00","23.59","0.50","","","","","","","","","",""
"","","","23.59","6.59","0.50","","","","","","","","","",""
"","","Sunday","7.00","23.59","0.50","","","","","","","","","",""
"","","","23.59","6.59","0.50","","","","","","","","","",""
"Eastpoint Mall","","Weekday","0.00","23.59","0.60","","","","","","","","","1.3427176","103.953015"
"","","Saturday","0.00","23.59","0.60","","","","","","","","","",""
"","","Sunday","0.00","23.59","0.60","","","","","","","","","",""
"Grand Mecure Roxy Hotel","","Weekday","0.00","23.59","0.80","","","","","","","","","1.303397","103.9046199"
"","","Saturday","0.00","23.59","0.80","","","","","","","","","",""
"","","Sunday","0.00","23.59","0.80","","","","","","","","","",""
"IKEA (Tampines)","","Weekday","7.00","23.00","0.00","","","","","","","","","1.3743394","103.9319676"
"","","Saturday","7.00","23.00","0.00","","","","","","","","","",""
"","","Sunday","7.00","23.00","0.00","","","","","","","","","",""
"Katong Shopping Centre","","Weekday","7.00","18.00","0.50","","","","","","","","","1.3039671","103.9012865"
"","","","18.00","6.59","2.00","0.00","","","","","","","","",""
"","","Saturday","7.00","18.00","0.50","","","","","","","","","",""
"","","","18.00","6.59","2.00","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","2.00","0.00","","","","","","","","",""
"Katong Village","","Weekday","8.00","18.00","1.10","","","","","","","","","1.3036204","103.9029678"
"","","","18.00","6.59","3.00","0.00","","","","","","","","",""
"","","Saturday","8.00","18.00","1.10","","","","","","","","","",""
"","","","18.00","6.59","3.00","0.00","","","","","","","","",""
"","","Sunday","8.00","18.00","1.10","","","","","","","","","",""
"","","","18.00","6.59","3.00","0.00","","","","","","","","",""
"Lifelong Learning Institute","","Weekday","6.00","17.59","0.90","","","","","","","","","1.3196856","103.892495"
"","","","18.00","23.59","3.21","0.00","","","","","","","","",""
"","","","0.00","5.59","12.00","0.00","","","","","","","","",""
"","","Saturday","6.00","17.59","0.90","","","","","","","","","",""
"","","","18.00","23.59","3.21","0.00","","","","","","","","",""
"","","","0.00","5.59","12.00","0.00","","","","","","","","",""
"","","Sunday","6.00","23.59","3.21","0.00","","","","","","","","",""
"","","","0.00","5.59","12.00","0.00","","","","","","","","",""
"Paramount Hotel","","Weekday","8.00","17.00","0.60","","","","","","","","","1.3038008","103.9029482"
"","","","17.01","7.59","2.50","0.00","","","","","","","","",""
"","","Saturday","8.00","17.00","0.60","","","","","","","","","",""
"","","","17.01","7.59","2.50","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","2.50","0.00","","","","","","","","",""
"Parkway Parade","","Weekday","6.00","18.00","0.50","0.50","0.40","","","","","","","1.3030126","103.9059617"
"","","","18.01","2.00","1.50","0.00","","","","","","","","",""
"","","","2.01","5.59","20","0.00","","","","","","","","",""
"","","Saturday","6.00","10.00","0.25","0.25","0.80","","","","","","","",""
"","","","10.00","18.00","0.65","0.65","0.80","","","","","","","",""
"","","Sunday","6.00","10.00","0.25","0.25","0.80","","","","","","","",""
"","","","10.00","18.00","0.65","0.65","0.80","","","","","","","",""
"Roxy Square","","Weekday","7.00","18.00","0.60","0.60","0.70","","","","","","","1.3039693","103.9042659"
"","","","17.00","23.59","2.50","0.00","","","","","","","","",""
"","","Saturday","7.00","18.00","0.60","0.60","0.70","","","","","","","",""
"","","","17.00","23.59","2.50","0.00","","","","","","","","",""
"","","Sunday","7.00","18.00","0.60","0.60","0.70","","","","","","","",""
